Automne 2016,Force 1 à 4,n,141,230
Automne 2016,Force 1 à 4,ne,99,317
Automne 2016,Force 1 à 4,e,50,90
Automne 2016,Force 1 à 4,se,71,147
Automne 2016,Force 1 à 4,s,114,338
Automne 2016,Force 1 à 4,so,62,218
Automne 2016,Force 1 à 4,o,76,186
Automne 2016,Force 1 à 4,no,87,296
Automne 2016,Force 5 à 6,n,66,230
Automne 2016,Force 5 à 6,ne,146,317
Automne 2016,Force 5 à 6,e,33,90
Automne 2016,Force 5 à 6,se,50,147
Automne 2016,Force 5 à 6,s,191,338
Automne 2016,Force 5 à 6,so,124,218
Automne 2016,Force 5 à 6,o,89,186
Automne 2016,Force 5 à 6,no,178,296
Automne 2016,Force 7 à 9,n,23,230
Automne 2016,Force 7 à 9,ne,72,317
Automne 2016,Force 7 à 9,e,7,90
Automne 2016,Force 7 à 9,se,25,147
Automne 2016,Force 7 à 9,s,31,338
Automne 2016,Force 7 à 9,so,30,218
Automne 2016,Force 7 à 9,o,21,186
Automne 2016,Force 7 à 9,no,31,296
Automne 2016,Force 10 à 12,n,0,230
Automne 2016,Force 10 à 12,ne,0,317
Automne 2016,Force 10 à 12,e,0,90
Automne 2016,Force 10 à 12,se,1,147
Automne 2016,Force 10 à 12,s,2,338
Automne 2016,Force 10 à 12,so,2,218
Automne 2016,Force 10 à 12,o,0,186
Automne 2016,Force 10 à 12,no,0,296
