Hiver 2017,Force 1 à 4,n,54,159
Hiver 2017,Force 1 à 4,ne,52,197
Hiver 2017,Force 1 à 4,e,214,350
Hiver 2017,Force 1 à 4,se,132,275
Hiver 2017,Force 1 à 4,s,158,416
Hiver 2017,Force 1 à 4,so,78,351
Hiver 2017,Force 1 à 4,o,182,445
Hiver 2017,Force 1 à 4,no,66,131
Hiver 2017,Force 5 à 6,n,91,159
Hiver 2017,Force 5 à 6,ne,96,197
Hiver 2017,Force 5 à 6,e,121,350
Hiver 2017,Force 5 à 6,se,111,275
Hiver 2017,Force 5 à 6,s,179,416
Hiver 2017,Force 5 à 6,so,140,351
Hiver 2017,Force 5 à 6,o,188,445
Hiver 2017,Force 5 à 6,no,53,131
Hiver 2017,Force 7 à 9,n,14,159
Hiver 2017,Force 7 à 9,ne,49,197
Hiver 2017,Force 7 à 9,e,15,350
Hiver 2017,Force 7 à 9,se,32,275
Hiver 2017,Force 7 à 9,s,79,416
Hiver 2017,Force 7 à 9,so,133,351
Hiver 2017,Force 7 à 9,o,75,445
Hiver 2017,Force 7 à 9,no,10,131
Hiver 2017,Force 10 à 12,n,0,159
Hiver 2017,Force 10 à 12,ne,0,197
Hiver 2017,Force 10 à 12,e,0,350
Hiver 2017,Force 10 à 12,se,0,275
Hiver 2017,Force 10 à 12,s,0,416
Hiver 2017,Force 10 à 12,so,0,351
Hiver 2017,Force 10 à 12,o,0,445
Hiver 2017,Force 10 à 12,no,2,131
