Hiver 2018,Force 1 à 4,n,76,207
Hiver 2018,Force 1 à 4,ne,69,279
Hiver 2018,Force 1 à 4,e,77,141
Hiver 2018,Force 1 à 4,se,72,195
Hiver 2018,Force 1 à 4,s,89,358
Hiver 2018,Force 1 à 4,so,95,351
Hiver 2018,Force 1 à 4,o,86,369
Hiver 2018,Force 1 à 4,no,69,216
Hiver 2018,Force 5 à 6,n,90,207
Hiver 2018,Force 5 à 6,ne,145,279
Hiver 2018,Force 5 à 6,e,62,141
Hiver 2018,Force 5 à 6,se,98,195
Hiver 2018,Force 5 à 6,s,144,358
Hiver 2018,Force 5 à 6,so,184,351
Hiver 2018,Force 5 à 6,o,138,369
Hiver 2018,Force 5 à 6,no,102,216
Hiver 2018,Force 7 à 9,n,41,207
Hiver 2018,Force 7 à 9,ne,65,279
Hiver 2018,Force 7 à 9,e,2,141
Hiver 2018,Force 7 à 9,se,25,195
Hiver 2018,Force 7 à 9,s,124,358
Hiver 2018,Force 7 à 9,so,72,351
Hiver 2018,Force 7 à 9,o,145,369
Hiver 2018,Force 7 à 9,no,45,216
Hiver 2018,Force 10 à 12,n,0,207
Hiver 2018,Force 10 à 12,ne,0,279
Hiver 2018,Force 10 à 12,e,0,141
Hiver 2018,Force 10 à 12,se,0,195
Hiver 2018,Force 10 à 12,s,1,358
Hiver 2018,Force 10 à 12,so,0,351
Hiver 2018,Force 10 à 12,o,0,369
Hiver 2018,Force 10 à 12,no,0,216
