Tous les sites,HIVER 2016,PRINTEMPS 2016,ETE 2016,AUTOMNE 2016,HIVER 2017,PRINTEMPS 2017,ETE 2017,AUTOMNE 2017,HIVER 2018,PRINTEMPS 2018,ETE 2018,SOMME
PLASTIQUE,1926,2777,2796,1689,3926,2094,2618,3453,1856,1735,0,24870
POLYSTYRENE,4491,1771,2421,1342,5908,2081,516,1014,473,73,0,20090
POLYURETANE,808,375,337,145,754,288,108,114,110,6,0,3045
POLLUANT,25,54,143,186,55,10,1588,1047,646,122,0,3876
MINERAL,43,122,247,71,257,711,137,102,61,301,0,2052
VEGETAL,116,160,131,63,215,168,204,165,46,30,0,1298
