Plage de Zuydcoote,HIVER 2016,PRINTEMPS 2016,ETE 2016,AUTOMNE 2016,HIVER 2017,PRINTEMPS 2017,ETE 2017,AUTOMNE 2017,HIVER 2018,PRINTEMPS 2018,ETE 2018,SOMME
PLASTIQUE,0,0,0,0,234,239,341,591,173,211,0,1789
POLYSTYRENE,0,0,0,0,5,12,7,0,13,10,0,47
POLYURETANE,0,0,0,0,14,10,12,4,4,1,0,45
POLLUANT,0,0,0,0,0,0,0,4,0,110,0,114
MINERAL,0,0,0,0,19,16,11,11,9,41,0,107
VEGETAL,0,0,0,0,21,23,12,23,6,8,0,93
