Plage des dunes du Mont Saint Frieux,HIVER 2016,PRINTEMPS 2016,ETE 2016,AUTOMNE 2016,HIVER 2017,PRINTEMPS 2017,ETE 2017,AUTOMNE 2017,HIVER 2018,PRINTEMPS 2018,ETE 2018,SOMME
PLASTIQUE,0,1025,559,137,1230,457,535,1396,1683,1259,0,8281
POLYSTYRENE,0,37,62,179,110,36,68,87,460,22,0,1061
POLYURETANE,0,0,6,16,44,11,12,14,106,2,0,211
POLLUANT,0,46,11,160,9,4,281,802,646,0,0,1959
MINERAL,0,13,18,4,29,8,8,8,52,1,0,141
VEGETAL,0,75,26,0,24,19,21,59,40,3,0,267
