Plage des Boucaniers,HIVER 2016,PRINTEMPS 2016,ETE 2016,AUTOMNE 2016,HIVER 2017,PRINTEMPS 2017,ETE 2017,AUTOMNE 2017,HIVER 2018,PRINTEMPS 2018,ETE 2018,SOMME
PLASTIQUE,1926,1752,2237,1552,2462,1398,1742,1466,0,265,0,14800
POLYSTYRENE,4491,1734,2359,1163,5793,2033,441,927,0,41,0,18982
POLYURETANE,808,375,331,129,696,267,84,96,0,3,0,2789
POLLUANT,25,8,132,26,46,6,1307,241,0,12,0,1803
MINERAL,43,109,229,67,209,687,118,83,0,259,0,1804
VEGETAL,116,85,105,63,170,126,171,83,0,19,0,938
