HIVER 2016,PRINTEMPS 2016,ETE 2016,AUTOMNE 2016,HIVER 2017,PRINTEMPS 2017,ETE 2017,AUTOMNE 2017,HIVER 2018,PRINTEMPS 2018,ETE 2018
o,12769.756875298232,5065.56196562017,10573.789624186544,6583.959894391093,11068.19440432606,5906.419447015387,10708.744369453965,10708.302047308345,11405.389451122852,951.5970464533591
e,-3847.96418012258,-3526.9572407457804,-1786.087445706385,-6796.987501841317,-6448.011497515334,-3485.860706484473,-2265.3900590742865,-1302.3962312453332,-5315.591833956183,-3038.716966934992
Plage des Boucaniers,7409,4063,5393,3000,9376,4517,3863,2896,null,599,null
Plage des dunes du Mont Saint Frieux,null,1196,682,496,1446,535,925,2366,2987,1287,null
Plage de Zuydcoote,null,null,null,null,293,300,383,631,205,381,null
Tous les sites,7409,5259,6075,3496,11115,5352,5171,5893,3192,2267,null
